,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,humidity,precip,precipprob,precipcover,preciptype,sealevelpressure,cloudcover,moonphase
0,2023-05-01,27.9,14.2,20.1,27.0,14.2,51.3,0.0,0.0,0.0,no_rain,1016.4,0.2,0.36
1,2023-05-02,28.6,15.0,21.2,27.6,15.0,56.6,0.0,0.0,0.0,no_rain,1017.3,0.0,0.39
2,2023-05-03,29.7,16.5,22.6,28.2,16.5,54.3,0.0,0.0,0.0,no_rain,1018.2,0.0,0.42
3,2023-05-04,31.7,17.0,23.5,30.4,17.0,57.8,0.0,0.0,0.0,no_rain,1013.9,11.8,0.46
4,2023-05-05,30.4,19.8,24.1,28.8,19.8,51.3,0.0,0.0,0.0,no_rain,1007.7,5.2,0.5
5,2023-05-06,29.0,17.9,22.1,28.0,17.9,63.4,0.3,100.0,12.5,rain,1011.1,27.0,0.52
6,2023-05-07,25.7,17.4,21.1,25.7,17.4,64.8,0.2,100.0,8.33,rain,1014.0,41.0,0.56
7,2023-05-08,26.3,16.0,20.3,26.3,16.0,66.3,0.0,0.0,0.0,no_rain,1015.0,39.2,0.59
8,2023-05-09,28.9,16.6,21.4,28.1,16.6,65.4,0.0,0.0,0.0,no_rain,1013.7,23.8,0.63
9,2023-05-10,30.6,17.4,22.2,29.4,17.4,66.7,0.0,0.0,0.0,no_rain,1011.4,35.4,0.67
10,2023-05-11,31.0,17.4,22.5,30.4,17.4,71.7,0.6,100.0,12.5,rain,1008.1,49.0,0.7
11,2023-05-12,29.2,18.8,22.5,28.5,18.8,66.3,0.0,0.0,0.0,no_rain,1013.1,5.9,0.75
12,2023-05-13,29.2,17.5,21.7,28.2,17.5,65.6,0.0,0.0,0.0,no_rain,1018.6,19.5,0.77
13,2023-05-14,29.8,18.3,22.7,28.9,18.3,61.9,0.0,0.0,0.0,no_rain,1017.2,60.3,0.81
14,2023-05-15,31.6,17.7,23.6,30.6,17.7,64.9,0.0,0.0,0.0,no_rain,1012.2,28.8,0.85
15,2023-05-16,33.4,19.1,24.4,32.1,19.1,65.5,0.0,0.0,0.0,no_rain,1008.5,15.3,0.88
16,2023-05-17,34.2,18.9,25.5,33.0,18.9,59.8,0.0,0.0,0.0,no_rain,1008.4,1.6,0.92
17,2023-05-18,28.2,20.0,22.8,27.6,20.0,60.9,0.0,0.0,0.0,no_rain,1013.5,37.5,0.95
18,2023-05-19,28.5,19.4,22.7,27.7,19.4,55.6,0.0,0.0,0.0,no_rain,1013.7,35.2,0.0
19,2023-05-20,29.2,17.6,22.9,28.2,17.6,60.0,0.0,0.0,0.0,no_rain,1012.0,17.3,0.02
20,2023-05-21,33.6,18.4,25.8,32.0,18.4,51.1,0.0,0.0,0.0,no_rain,1007.1,37.7,0.06
21,2023-05-22,30.6,21.2,25.8,29.8,21.2,48.4,0.0,0.0,0.0,no_rain,1006.5,7.8,0.09
22,2023-05-23,33.3,18.6,24.7,31.7,18.6,62.9,0.1,100.0,4.17,rain,1010.6,9.3,0.12
23,2023-05-24,31.3,19.7,24.0,30.2,19.7,66.8,0.0,0.0,0.0,no_rain,1011.1,17.4,0.15
24,2023-05-25,31.9,19.8,24.0,31.2,19.8,65.4,0.0,0.0,0.0,no_rain,1012.4,28.0,0.18
25,2023-05-26,32.4,18.8,24.3,31.7,18.8,62.0,0.0,0.0,0.0,no_rain,1010.3,68.2,0.22
26,2023-05-27,36.1,22.6,28.5,34.3,22.6,36.0,0.2,100.0,4.17,rain,1004.3,56.4,0.25
27,2023-05-28,31.3,21.6,25.7,30.4,21.6,52.8,0.0,0.0,0.0,no_rain,1005.1,25.9,0.28
28,2023-05-29,31.2,20.0,24.4,30.3,20.0,64.7,0.2,100.0,4.17,rain,1010.2,22.2,0.31
29,2023-05-30,32.3,19.1,24.6,31.0,19.1,64.0,0.0,0.0,0.0,no_rain,1013.7,20.4,0.35
30,2023-05-31,35.1,19.9,26.5,33.9,19.9,58.5,0.0,0.0,0.0,no_rain,1013.1,13.6,0.38
31,2023-06-01,36.3,23.5,28.2,35.3,23.5,44.1,0.1,100.0,4.17,rain,1010.1,70.6,0.41
32,2023-06-02,39.3,25.9,31.4,38.4,25.9,34.9,0.2,100.0,8.33,rain,1007.4,19.3,0.44
33,2023-06-03,32.0,21.5,25.7,32.2,21.5,63.4,0.0,0.0,0.0,no_rain,1013.7,14.9,0.47
34,2023-06-04,31.2,19.8,24.2,31.2,19.8,67.0,0.0,0.0,0.0,no_rain,1015.5,36.3,0.5
35,2023-06-05,31.3,18.6,23.9,30.7,18.6,64.0,0.0,0.0,0.0,no_rain,1013.7,10.7,0.54
36,2023-06-06,31.2,19.2,24.2,31.3,19.2,66.6,0.0,0.0,0.0,no_rain,1012.3,28.4,0.58
37,2023-06-07,33.9,20.0,25.8,33.6,20.0,65.5,0.0,0.0,0.0,no_rain,1010.7,33.6,0.61
38,2023-06-08,37.2,22.7,28.1,36.1,22.7,59.7,0.2,100.0,4.17,rain,1008.2,82.9,0.65
39,2023-06-09,36.2,23.4,27.8,38.5,23.4,60.9,0.0,0.0,0.0,no_rain,1005.6,21.5,0.69
40,2023-06-10,32.0,22.6,26.2,32.3,22.6,64.0,0.0,0.0,0.0,no_rain,1008.3,2.6,0.75
41,2023-06-11,33.1,20.4,26.1,32.9,20.4,63.4,0.0,0.0,0.0,no_rain,1008.8,1.5,0.76
42,2023-06-12,33.2,20.4,26.1,33.2,20.4,63.6,0.0,0.0,0.0,no_rain,1007.8,12.1,0.79
43,2023-06-13,32.6,21.4,25.0,33.4,21.4,70.4,0.5,100.0,20.83,rain,1006.8,31.1,0.83
44,2023-06-14,31.8,21.5,25.9,32.2,21.5,66.1,0.0,0.0,0.0,no_rain,1009.8,15.5,0.86
45,2023-06-15,32.4,21.9,26.2,33.2,21.9,65.3,0.0,0.0,0.0,no_rain,1012.0,10.7,0.9
46,2023-06-16,37.0,20.3,28.1,39.8,20.3,59.6,0.0,0.0,0.0,no_rain,1009.2,0.9,0.94
47,2023-06-17,33.0,23.1,27.4,33.6,23.1,58.3,0.0,0.0,0.0,no_rain,1008.1,9.4,0.97
48,2023-06-18,32.3,21.2,25.8,32.5,21.2,64.1,0.0,0.0,0.0,no_rain,1011.7,5.3,0.0
49,2023-06-19,31.4,20.8,25.5,31.6,20.8,62.9,0.0,0.0,0.0,no_rain,1012.3,25.7,0.04
50,2023-06-20,31.2,23.1,26.3,31.6,23.1,65.9,0.0,0.0,0.0,no_rain,1012.0,15.6,0.07
51,2023-06-21,33.7,22.3,26.8,34.2,22.3,70.3,0.0,0.0,0.0,no_rain,1010.7,14.2,0.1
52,2023-06-22,33.6,22.2,26.8,34.1,22.2,68.7,0.0,0.0,0.0,no_rain,1010.0,11.5,0.14
53,2023-06-23,34.4,22.0,27.4,34.3,22.0,63.6,0.0,0.0,0.0,no_rain,1010.0,0.0,0.17
54,2023-06-24,34.8,21.6,27.7,34.7,21.6,63.0,0.0,0.0,0.0,no_rain,1010.5,0.0,0.2
55,2023-06-25,34.8,22.5,27.7,35.0,22.5,63.1,0.0,0.0,0.0,no_rain,1010.0,0.1,0.23
56,2023-06-26,34.7,21.4,27.4,34.6,21.4,62.6,0.0,0.0,0.0,no_rain,1008.5,0.0,0.25
57,2023-06-27,34.3,22.5,27.5,35.4,22.5,66.4,0.0,0.0,0.0,no_rain,1008.4,17.2,0.3
58,2023-06-28,34.2,22.4,27.5,36.3,22.4,69.0,0.0,0.0,0.0,no_rain,1010.0,15.4,0.33
59,2023-06-29,33.9,22.6,27.6,34.0,22.6,64.2,0.0,0.0,0.0,no_rain,1011.6,0.3,0.37
60,2023-06-30,34.4,22.4,27.4,35.4,22.4,69.7,0.0,0.0,0.0,no_rain,1010.3,10.1,0.4
61,2023-07-01,33.6,23.1,27.9,33.9,23.1,60.7,0.0,0.0,0.0,no_rain,1009.3,0.8,0.43
62,2023-07-02,34.3,22.7,28.0,34.4,22.7,59.5,0.0,0.0,0.0,no_rain,1010.7,0.5,0.46
63,2023-07-03,36.8,21.5,28.6,38.7,21.5,61.5,0.0,0.0,0.0,no_rain,1010.8,0.0,0.5
64,2023-07-04,35.6,23.4,28.2,39.1,23.4,65.6,0.0,0.0,0.0,no_rain,1010.0,1.7,0.53
65,2023-07-05,33.5,22.3,27.3,35.6,22.3,68.2,0.0,0.0,0.0,no_rain,1009.2,11.0,0.57
66,2023-07-06,33.8,24.2,28.2,35.6,24.2,65.6,0.0,0.0,0.0,no_rain,1008.1,6.4,0.6
67,2023-07-07,34.1,24.0,28.2,37.2,24.0,71.4,0.0,0.0,0.0,no_rain,1009.0,9.5,0.64
68,2023-07-08,35.1,24.5,29.0,37.2,24.5,67.0,0.0,0.0,0.0,no_rain,1008.4,2.7,0.67
69,2023-07-09,33.6,25.0,28.5,36.3,25.0,65.6,0.0,0.0,0.0,no_rain,1008.1,0.7,0.71
70,2023-07-10,34.6,23.5,28.3,35.9,23.5,66.7,0.0,0.0,0.0,no_rain,1008.1,1.3,0.75
71,2023-07-11,34.6,25.1,29.2,36.4,25.1,65.0,0.0,0.0,0.0,no_rain,1009.7,2.5,0.78
72,2023-07-12,34.8,25.1,29.1,35.5,25.1,65.6,0.0,0.0,0.0,no_rain,1011.8,0.4,0.81
73,2023-07-13,35.0,23.2,28.7,36.6,23.2,63.6,0.0,0.0,0.0,no_rain,1011.5,0.0,0.85
74,2023-07-14,36.6,22.7,28.9,38.6,22.7,65.4,0.0,0.0,0.0,no_rain,1009.3,0.3,0.88
75,2023-07-15,37.4,23.0,29.2,38.4,23.0,67.4,0.0,0.0,0.0,no_rain,1007.6,23.2,0.92
76,2023-07-16,38.9,23.5,30.2,42.6,23.5,68.5,0.0,0.0,0.0,no_rain,1006.2,0.0,0.95
77,2023-07-17,38.4,24.0,30.2,44.7,24.0,73.4,0.0,0.0,0.0,no_rain,1006.5,15.1,0.0
78,2023-07-18,37.7,23.7,29.7,41.3,23.7,69.5,0.0,0.0,0.0,no_rain,1005.6,2.6,0.02
79,2023-07-19,36.9,24.4,29.4,39.9,24.4,71.0,0.0,0.0,0.0,no_rain,1004.6,25.2,0.05
80,2023-07-20,36.6,23.7,29.3,38.6,23.7,69.4,0.0,0.0,0.0,no_rain,1005.6,0.3,0.09
81,2023-07-21,36.7,22.2,28.7,39.9,22.2,69.6,0.0,0.0,0.0,no_rain,1008.3,9.4,0.12
82,2023-07-22,37.6,23.9,30.0,42.9,23.9,71.7,0.0,0.0,0.0,no_rain,1009.4,0.4,0.15
83,2023-07-23,38.0,25.6,31.1,42.9,25.6,68.1,0.0,0.0,0.0,no_rain,1007.9,5.8,0.19
84,2023-07-24,38.5,25.3,30.9,44.9,25.3,70.3,0.0,0.0,0.0,no_rain,1005.0,0.0,0.22
85,2023-07-25,37.9,25.4,31.0,44.2,25.4,65.7,0.0,0.0,0.0,no_rain,1003.0,0.0,0.25
86,2023-07-26,38.1,25.6,31.2,46.1,25.6,66.3,0.0,0.0,0.0,no_rain,1004.9,0.0,0.25
87,2023-07-27,38.5,24.2,30.7,40.9,24.2,62.1,0.0,0.0,0.0,no_rain,1006.5,0.0,0.32
88,2023-07-28,38.3,22.6,29.5,43.7,22.6,65.2,0.0,0.0,0.0,no_rain,1007.7,2.0,0.35
89,2023-07-29,34.4,24.2,28.8,36.4,24.2,66.4,0.0,0.0,0.0,no_rain,1007.7,0.4,0.39
90,2023-07-30,34.7,24.9,28.9,37.4,24.9,64.1,0.0,0.0,0.0,no_rain,1006.0,2.1,0.42
91,2023-07-31,35.1,24.5,28.9,37.9,24.5,66.1,0.0,0.0,0.0,no_rain,1004.6,6.8,0.45
92,2023-08-01,35.4,23.9,29.0,38.2,23.9,66.9,0.0,0.0,0.0,no_rain,1005.9,0.0,0.5
93,2023-08-02,36.0,23.4,28.9,38.4,23.4,66.6,0.0,0.0,0.0,no_rain,1008.7,0.0,0.52
94,2023-08-03,35.1,23.0,28.5,37.8,23.0,67.7,0.0,0.0,0.0,no_rain,1010.5,0.5,0.55
95,2023-08-04,35.9,23.0,28.9,37.6,23.0,64.5,0.0,0.0,0.0,no_rain,1010.1,0.1,0.59
96,2023-08-05,37.3,22.2,29.2,38.3,22.2,60.0,0.0,0.0,0.0,no_rain,1009.0,1.8,0.62
97,2023-08-06,40.6,24.1,31.3,43.6,24.1,53.1,0.0,0.0,0.0,no_rain,1008.4,0.0,0.66
98,2023-08-07,37.3,25.4,30.4,40.8,25.4,63.2,0.0,0.0,0.0,no_rain,1008.5,0.0,0.69
99,2023-08-08,34.5,24.6,28.9,37.4,24.6,67.4,0.0,0.0,0.0,no_rain,1007.4,11.6,0.75
100,2023-08-09,34.7,24.8,29.0,37.6,24.8,60.7,0.0,0.0,0.0,no_rain,1008.4,15.9,0.76
101,2023-08-10,34.3,25.6,28.9,36.6,25.6,65.9,0.0,0.0,0.0,no_rain,1011.2,17.9,0.79
102,2023-08-11,32.5,26.0,28.5,34.1,26.0,61.3,0.0,0.0,0.0,no_rain,1011.7,37.7,0.83
103,2023-08-12,33.2,25.8,28.6,35.2,25.8,63.1,0.0,0.0,0.0,no_rain,1009.5,33.6,0.86
104,2023-08-13,33.1,25.7,28.6,36.3,25.7,67.6,0.0,0.0,0.0,no_rain,1008.9,24.9,0.9
105,2023-08-14,33.7,25.6,28.6,36.4,25.6,69.2,0.0,0.0,0.0,no_rain,1010.9,12.4,0.93
106,2023-08-15,33.8,25.8,28.6,35.7,25.8,68.0,0.0,0.0,0.0,no_rain,1011.9,17.1,0.96
107,2023-08-16,33.6,25.3,28.6,36.3,25.3,66.0,0.0,0.0,0.0,no_rain,1009.5,15.2,0.0
108,2023-08-17,34.4,25.6,28.8,38.2,25.6,65.5,0.0,0.0,0.0,no_rain,1008.4,18.5,0.03
109,2023-08-18,34.6,25.0,28.7,38.2,25.0,66.1,0.0,0.0,0.0,no_rain,1009.0,26.3,0.07
110,2023-08-19,34.0,25.0,28.7,37.0,25.0,64.9,0.0,0.0,0.0,no_rain,1009.8,14.4,0.1
111,2023-08-20,33.3,23.7,28.2,35.1,23.7,63.2,0.0,0.0,0.0,no_rain,1009.2,28.5,0.14
112,2023-08-21,33.5,25.8,29.0,35.5,25.8,62.1,0.0,0.0,0.0,no_rain,1009.1,30.1,0.17
113,2023-08-22,33.6,25.2,28.6,35.3,25.2,62.9,0.0,0.0,0.0,no_rain,1009.3,14.2,0.2
114,2023-08-23,34.2,23.8,28.2,36.5,23.8,66.3,0.0,0.0,0.0,no_rain,1010.3,5.3,0.24
115,2023-08-24,34.9,23.5,28.2,36.5,23.5,67.4,0.0,0.0,0.0,no_rain,1011.0,10.7,0.25
116,2023-08-25,35.4,23.5,28.8,38.6,23.5,70.7,0.0,0.0,0.0,no_rain,1010.4,10.4,0.31
117,2023-08-26,36.8,24.6,29.6,40.9,24.6,68.9,0.0,0.0,0.0,no_rain,1010.3,4.8,0.34
118,2023-08-27,36.2,25.2,29.7,39.9,25.2,69.6,0.0,0.0,0.0,no_rain,1009.2,27.8,0.37
119,2023-08-28,35.4,24.2,29.2,38.6,24.2,69.5,0.0,0.0,0.0,no_rain,1008.1,20.4,0.41
120,2023-08-29,35.4,25.8,29.4,38.7,25.8,67.8,0.0,0.0,0.0,no_rain,1007.0,14.0,0.44
121,2023-08-30,37.3,23.4,29.5,40.6,23.4,66.7,0.0,0.0,0.0,no_rain,1009.1,2.1,0.48
122,2023-08-31,36.8,24.6,29.4,41.1,24.6,71.7,0.0,0.0,0.0,no_rain,1012.2,7.8,0.5
123,2023-09-01,34.4,25.2,28.9,37.1,25.2,65.7,0.0,0.0,0.0,no_rain,1013.4,29.3,0.54
124,2023-09-02,35.3,24.6,29.2,37.3,24.6,62.2,0.0,0.0,0.0,no_rain,1012.5,4.8,0.58
125,2023-09-03,34.9,25.3,29.2,36.9,25.3,61.4,0.0,0.0,0.0,no_rain,1010.2,19.9,0.61
126,2023-09-04,33.9,24.5,28.7,36.5,24.5,65.5,0.0,0.0,0.0,no_rain,1006.8,22.0,0.64
127,2023-09-05,37.0,24.7,29.9,44.9,24.7,61.1,0.0,0.0,0.0,no_rain,1007.2,0.7,0.68
128,2023-09-06,39.0,25.4,31.0,40.2,25.4,53.1,0.0,0.0,0.0,no_rain,1010.5,0.0,0.71
129,2023-09-07,38.8,25.8,31.6,39.9,25.8,52.7,0.0,0.0,0.0,no_rain,1008.9,0.0,0.75
130,2023-09-08,38.5,25.7,30.6,41.9,25.7,53.8,0.0,0.0,0.0,no_rain,1007.8,0.0,0.78
131,2023-09-09,37.3,25.1,30.2,41.7,25.1,62.5,0.0,0.0,0.0,no_rain,1010.1,3.4,0.81
132,2023-09-10,37.5,25.3,30.1,38.7,25.3,60.9,0.0,0.0,0.0,no_rain,1008.5,0.9,0.84
133,2023-09-11,38.5,25.9,31.1,41.6,25.9,53.6,0.0,0.0,0.0,no_rain,1004.4,10.5,0.88
134,2023-09-12,32.2,26.5,28.9,34.0,26.5,55.9,0.2,100.0,4.17,rain,1006.1,51.4,0.91
135,2023-09-13,34.4,25.4,29.1,34.2,25.4,60.7,0.1,100.0,4.17,rain,1011.2,15.8,0.94
136,2023-09-14,34.7,22.8,28.0,35.8,22.8,64.5,0.0,0.0,0.0,no_rain,1012.0,2.2,0.98
137,2023-09-15,34.6,22.6,27.5,35.0,22.6,65.4,0.0,0.0,0.0,no_rain,1012.3,9.7,0.0
138,2023-09-16,34.3,22.5,27.3,34.3,22.5,64.5,0.0,0.0,0.0,no_rain,1011.9,6.8,0.05
139,2023-09-17,36.2,21.8,27.9,36.9,21.8,67.8,0.0,0.0,0.0,no_rain,1010.3,1.8,0.08
140,2023-09-18,34.8,24.4,28.4,36.4,24.4,67.7,0.0,0.0,0.0,no_rain,1009.2,26.8,0.12
141,2023-09-19,33.9,23.8,27.7,35.1,23.8,65.3,0.0,0.0,0.0,no_rain,1009.9,18.7,0.15
142,2023-09-20,33.1,22.9,27.3,33.5,22.9,65.5,0.0,0.0,0.0,no_rain,1012.5,15.8,0.18
143,2023-09-21,34.1,23.3,27.4,35.5,23.3,66.5,0.0,0.0,0.0,no_rain,1012.5,16.2,0.22
144,2023-09-22,35.1,22.5,27.6,36.5,22.5,66.8,0.0,0.0,0.0,no_rain,1013.2,0.8,0.25
145,2023-09-23,35.4,22.8,27.8,35.9,22.8,66.2,0.0,0.0,0.0,no_rain,1012.2,0.0,0.29
146,2023-09-24,36.0,21.8,27.5,36.0,21.8,66.8,0.0,0.0,0.0,no_rain,1010.9,0.1,0.32
147,2023-09-25,36.4,23.1,28.2,36.7,23.1,71.0,0.0,0.0,0.0,no_rain,1010.4,16.4,0.36
148,2023-09-26,36.3,22.5,28.1,36.5,22.5,67.9,0.0,0.0,0.0,no_rain,1010.5,0.9,0.39
149,2023-09-27,37.0,22.1,28.8,37.1,22.1,63.8,0.0,0.0,0.0,no_rain,1011.1,4.2,0.43
150,2023-09-28,38.1,23.3,29.3,37.9,23.3,67.4,0.0,0.0,0.0,no_rain,1013.2,0.0,0.46
151,2023-09-29,36.4,23.2,28.5,38.6,23.2,69.8,0.0,0.0,0.0,no_rain,1015.2,17.8,0.5
152,2023-09-30,35.2,22.9,28.1,36.6,22.9,61.8,0.0,0.0,0.0,no_rain,1014.8,51.9,0.53
153,2023-10-01,32.5,24.4,27.3,32.6,24.4,61.6,0.0,0.0,0.0,no_rain,1014.2,68.1,0.56
154,2023-10-02,31.3,24.0,26.7,31.0,24.0,55.4,0.0,0.0,0.0,no_rain,1014.4,83.3,0.6
155,2023-10-03,30.7,22.2,26.0,30.8,22.2,58.7,0.0,0.0,0.0,no_rain,1015.2,60.3,0.63
156,2023-10-04,32.1,22.6,26.4,32.3,22.6,63.2,1.1,100.0,12.5,rain,1016.8,81.1,0.66
157,2023-10-05,32.3,23.3,27.1,32.9,23.3,60.2,0.0,0.0,0.0,no_rain,1017.3,32.0,0.69
158,2023-10-06,32.4,23.0,26.4,31.8,23.0,64.0,0.0,0.0,0.0,no_rain,1016.8,32.0,0.75
159,2023-10-07,31.4,21.1,25.5,30.9,21.1,62.3,0.0,0.0,0.0,no_rain,1016.4,69.9,0.76
160,2023-10-08,32.0,22.5,26.1,32.1,22.5,58.5,0.0,0.0,0.0,no_rain,1016.0,59.3,0.79
161,2023-10-09,32.4,22.9,26.4,33.0,22.9,61.1,0.0,0.0,0.0,no_rain,1015.8,22.2,0.82
162,2023-10-10,31.7,21.6,25.9,31.1,21.6,60.0,0.0,0.0,0.0,no_rain,1014.3,19.4,0.86
163,2023-10-11,31.7,23.0,26.1,31.0,23.0,59.7,0.0,0.0,0.0,no_rain,1014.6,49.7,0.89
164,2023-10-12,31.6,21.0,25.6,30.8,21.0,58.6,0.0,0.0,0.0,no_rain,1016.9,21.6,0.92
165,2023-10-13,31.1,21.7,25.4,30.5,21.7,61.5,0.0,0.0,0.0,no_rain,1018.5,30.3,0.96
166,2023-10-14,30.2,19.8,24.6,29.4,19.8,60.2,0.0,0.0,0.0,no_rain,1016.5,22.2,0.0
167,2023-10-15,30.0,20.7,24.5,29.4,20.7,62.0,0.0,0.0,0.0,no_rain,1014.4,25.1,0.02
168,2023-10-16,29.9,20.9,24.5,30.8,20.9,65.0,0.1,100.0,4.17,rain,1014.6,28.6,0.06
169,2023-10-17,31.0,19.8,24.7,32.0,19.8,64.9,0.0,0.0,0.0,rain,1015.7,22.1,0.09
170,2023-10-18,30.7,19.5,24.3,30.0,19.5,65.0,0.0,0.0,0.0,no_rain,1015.9,20.0,0.13
171,2023-10-19,31.8,19.9,24.8,31.6,19.9,65.0,0.0,0.0,0.0,no_rain,1016.5,10.7,0.16
172,2023-10-20,31.8,19.1,24.7,30.8,19.1,59.4,0.0,0.0,0.0,no_rain,1017.1,0.0,0.2
173,2023-10-21,30.6,19.2,24.2,30.4,19.2,65.5,0.0,0.0,0.0,no_rain,1016.8,8.8,0.23
174,2023-10-22,31.7,18.9,24.7,31.8,18.9,64.4,0.0,0.0,0.0,no_rain,1015.9,6.6,0.25
175,2023-10-23,33.1,21.6,25.6,34.0,21.6,69.7,0.0,0.0,0.0,no_rain,1015.0,2.4,0.31
176,2023-10-24,33.2,21.0,25.7,33.0,21.0,72.1,0.0,0.0,0.0,no_rain,1013.4,0.7,0.34
177,2023-10-25,33.9,20.4,26.0,34.3,20.4,69.8,0.0,0.0,0.0,no_rain,1013.2,0.0,0.38
178,2023-10-26,36.1,21.3,26.2,36.7,21.3,75.0,0.0,0.0,0.0,no_rain,1012.1,34.3,0.41
179,2023-10-27,33.3,21.8,26.2,34.2,21.8,76.0,0.0,0.0,0.0,no_rain,1012.2,44.8,0.45
180,2023-10-28,33.4,20.4,25.6,33.7,20.4,71.4,0.0,0.0,0.0,no_rain,1013.1,0.4,0.5
181,2023-10-29,33.2,22.3,26.0,33.9,22.3,72.9,0.0,0.0,0.0,no_rain,1013.3,5.4,0.52
182,2023-10-30,33.0,21.7,26.0,34.7,21.7,76.3,0.0,0.0,0.0,no_rain,1013.7,26.6,0.55
183,2023-10-31,32.7,21.2,26.4,32.7,21.2,68.6,0.4,100.0,4.17,rain,1013.6,56.7,0.58
184,2023-11-01,31.6,22.2,25.8,32.4,22.2,70.1,0.0,0.0,0.0,no_rain,1015.2,20.9,0.61
185,2023-11-02,31.9,21.8,25.3,31.8,21.8,66.9,0.0,0.0,0.0,no_rain,1015.8,30.6,0.65
186,2023-11-03,32.6,20.0,25.0,33.1,20.0,68.3,0.0,0.0,0.0,no_rain,1015.2,17.6,0.68
